rec_id,recommendation_label,recommendation_stage,recommendation_source_lines,recommendation_source_section,doc_ref_num,doc_short_name,doc_type,doc_year,doc_reference_raw_excerpt,pair_score,direct_ref_in_recommendation_unit,direct_alias_in_recommendation_text,recommendation_inline_citations,theme_overlap_terms,context_overlap_terms,support_types,doc_mention_snippet,doc_mention_ref_hit,doc_mention_aliases,recommendation_paper_excerpt,extraction_note,pair_reliability_label,pair_reliability_reason,reliability_weight,pairing_basis_summary
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,7,WEEE Directive,Directive,2012,"[7] European Union, Directive 2012/19/EU of the European Parliament and of the Council on Waste Electrical and Electronic Equipment (WEEE). Accessed: Jan. 17, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2012/19/2018-07-04/eng",21.0,True,WEEE,7,category; classification; eee,category; classification; defin,direct_ref_in_rec_unit; direct_alias_in_rec_text; theme_overlap; paper_doc_context_overlap,"To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7].",True,WEEE,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,high,Direct evidence in recommendation unit (explicit citation and/or explicit document alias mention).,1.0,direct reference [7] appears in recommendation unit; document alias mentioned in recommendation text (WEEE); theme overlap: category; classification; eee; paper context overlap: category; classification; defin
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,37,EU Taxonomy for Sustainable Activities,Regulation,2020,"[37] (2020). Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the Establishment of a Framework to Facilitate Sustainable Investment, and Amending Regulation (EU) 2019/2088. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/reg/2020/852/oj/eng",2.6,False,,7,,classification; defin,paper_doc_context_overlap; stage_prior,"In a complementary direction, the EU Taxonomy for Sustainable Activities is a science-based classification system that identifies environmentally sustainable economic activities [37].",True,EU Taxonomy; Taxonomy for Sustainable Activities,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,paper context overlap: classification; defin; lifecycle/policy prior match
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,22,Circular Economy Action Plan (CEAP),Commission communication,2020,"[22] (2020). European Union, A New Circular Economy Action Plan for a Cleaner and More Competitive Europe. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/ legal-content/EN/TXT/?uri=celex:52020DC0098 VOLUME 13, 2025 K. Vogel et al.: Defining and Achieving Next-Generation Green Electronics",1.8,False,,7,,practic,paper_doc_context_overlap; stage_prior,"The EU’s Circular Economy Action Plan promotes durable products, waste reduction, and sustainable practices like reuse and recycling [22].",True,Circular Economy Action Plan,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,paper context overlap: practic; lifecycle/policy prior match
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,34,SSbD Framework Recommendation,Commission recommendation,2022,"[34] (2022). European Union, Commission Recommendation (EU) 2022/2510 of 8 December 2022 Establishing a European Assessment Framework for ’Safe and Sustainable by Design’ Chemicals and Materials. Accessed: May 5, 2025. [Online]. Available: https://eur-lex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A32022H2510&qid=1746439522087",0.8,False,,7,,practic,paper_doc_context_overlap,"To guide ecodesign of materials and chemicals, the Joint Research Centre (JRC) of the European Commission proposed the safe and sustainable by design (SSbD) framework [34].",True,SSbD; safe and sustainable by design,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,paper context overlap: practic
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,8,ESPR (Ecodesign for Sustainable Products Regulation),Regulation,2024,"[8] (2024). European Union, Regulation (EU) 2024/1781 of the European Parliament and of the Council of 13 June 2024 Establishing a Framework for the Setting of Ecodesign Requirements for Sustainable Products, Amending Directive (EU) 2020/1828 and Regulation (EU) 2023/1542 and Repealing Directive 2009/125/EC. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/eli/reg/2024/1781/oj/eng",-1.0,False,,7,,,stage_prior,"the Waste from Electrical and Electronic Equipment Directive or Ecodesign for Sustainable Products Regulation), driving new research into greener electronics [7], [8], although, to date, a common or unified definition of what, exactly, it means for electronics to be more ‘‘green’’ does not clearly exist.",True,Ecodesign for Sustainable Products Regulation,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,lifecycle/policy prior match
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,21,European Green Deal (EP Resolution),Parliament resolution,2020,"[21] (2020). European Union, European Parliament Resolution of 15 January 2020 on the European Green Deal (2019/2956(RSP). Accessed: May 5, 2025. [Online]. Available: https://eur-lex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A52020IP0005&qid=1746438016148",-1.0,False,,7,,,stage_prior,"SNAPSHOT OF EU SUSTAINABILITY GUIDELINES & REGULATIONS FOR ELECTRONICS With the approval of the EU Green Deal, the EU aims for climate neutrality by 2050 and a 55% emissions reduction by 2030 [21].",True,Green Deal,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,lifecycle/policy prior match
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,26,Critical Raw Materials Act,Regulation,2024,"[26] (2024). European Union, Regulation (EU) 2024/1252 of the European Parliament and of the Council of 11 April 2024 Establishing a Framework for Ensuring a Secure and Sustainable Supply of Critical Raw Materials and Amending Regulations (EU), no. 168/2013, (EU) 2018/858, (EU) 2018/1724 and (EU) 2019/1020. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/reg/2024/1252/oj/eng",-2.0,False,,7,,,,"Finally, the Critical Raw Materials Act, adopted by the EU in May 2024, aims to ensure a secure and sustainable supply of critical raw materials essential for the green and digital transitions [26], supporting research into more green electronics that use fewer critical materials than conventional electronics.",True,Critical Raw Materials Act,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,weak heuristic association only
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,27,Chemicals Strategy for Sustainability,Commission communication,2020,"[27] (2020). European Union, Chemicals Strategy for Sustainability Towards a Toxic-Free Environment. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/legal-content/EN/TXT/?uri= CELEX%3A52020DC0667&qid=1746439390567",-2.0,False,,7,,,,"Furthermore, the European Chemicals Strategy for Sustainability aims to further climate neutrality, a circular economy, and zero pollution for chemicals [27].",True,Chemicals Strategy for Sustainability,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,weak heuristic association only
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,28,Ecodesign Directive,Directive,2009,"[28] (2009). European Union, Directive 2009/125/EC of the European Parliament and of the Council of 21 October 2009 Establishing a Framework for the Setting of Ecodesign Requirements for EnergyRelated Products. Accessed: Jan. 17, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2009/125/oj/eng",-2.0,False,,7,,,,"ESPR updates and extends the existing Ecodesign Directive [28], expanding its scope from energy-related products to almost any physical goods placed on the market, with new priority targets including electronic goods (e.",True,Ecodesign Directive,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,weak heuristic association only
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,29,Right to Repair Directive,Directive,2024,"[29] (2024). European Union, Directive (EU) 2024/1799 of the European Parliament and of the Council of 13 June 2024 on Common Rules Promoting the Repair of Goods and Amending Regulation (EU) 2017/2394 and Directives (EU) 2019/771 and (EU) 2020/1828. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2024/1799/oj/eng",-2.0,False,,7,,,,"Similarly, the Right to Repair Directive, proposed in March 2023, aims to make repairs more accessible and cost-effective, encouraging a design for repairability approach throughout the product lifecycle [29].",True,Right to Repair Directive; Right to Repair,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,weak heuristic association only
