rec_id,recommendation_label,recommendation_stage,recommendation_source_lines,recommendation_source_section,doc_ref_num,doc_short_name,doc_type,doc_year,doc_reference_raw_excerpt,pair_score,direct_ref_in_recommendation_unit,direct_alias_in_recommendation_text,recommendation_inline_citations,theme_overlap_terms,context_overlap_terms,support_types,doc_mention_snippet,doc_mention_ref_hit,doc_mention_aliases,recommendation_paper_excerpt,extraction_note,pair_reliability_label,pair_reliability_reason,reliability_weight,pairing_basis_summary
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,7,WEEE Directive,Directive,2012,"[7] European Union, Directive 2012/19/EU of the European Parliament and of the Council on Waste Electrical and Electronic Equipment (WEEE). Accessed: Jan. 17, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2012/19/2018-07-04/eng",21.0,True,WEEE,7,category; classification; eee,category; classification; defin,direct_ref_in_rec_unit; direct_alias_in_rec_text; theme_overlap; paper_doc_context_overlap,"To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7].",True,WEEE,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,high,Direct evidence in recommendation unit (explicit citation and/or explicit document alias mention).,1.0,direct reference [7] appears in recommendation unit; document alias mentioned in recommendation text (WEEE); theme overlap: category; classification; eee; paper context overlap: category; classification; defin
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,37,EU Taxonomy for Sustainable Activities,Regulation,2020,"[37] (2020). Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the Establishment of a Framework to Facilitate Sustainable Investment, and Amending Regulation (EU) 2019/2088. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/reg/2020/852/oj/eng",2.6,False,,7,,classification; defin,paper_doc_context_overlap; stage_prior,"In a complementary direction, the EU Taxonomy for Sustainable Activities is a science-based classification system that identifies environmentally sustainable economic activities [37].",True,EU Taxonomy; Taxonomy for Sustainable Activities,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,paper context overlap: classification; defin; lifecycle/policy prior match
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,22,Circular Economy Action Plan (CEAP),Commission communication,2020,"[22] (2020). European Union, A New Circular Economy Action Plan for a Cleaner and More Competitive Europe. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/ legal-content/EN/TXT/?uri=celex:52020DC0098 VOLUME 13, 2025 K. Vogel et al.: Defining and Achieving Next-Generation Green Electronics",1.8,False,,7,,practic,paper_doc_context_overlap; stage_prior,"The EU’s Circular Economy Action Plan promotes durable products, waste reduction, and sustainable practices like reuse and recycling [22].",True,Circular Economy Action Plan,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,paper context overlap: practic; lifecycle/policy prior match
R001,Tailor best practices by electronics category and component type,cross-lifecycle,425-449,A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS,34,SSbD Framework Recommendation,Commission recommendation,2022,"[34] (2022). European Union, Commission Recommendation (EU) 2022/2510 of 8 December 2022 Establishing a European Assessment Framework for ’Safe and Sustainable by Design’ Chemicals and Materials. Accessed: May 5, 2025. [Online]. Available: https://eur-lex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A32022H2510&qid=1746439522087",0.8,False,,7,,practic,paper_doc_context_overlap,"To guide ecodesign of materials and chemicals, the Joint Research Centre (JRC) of the European Commission proposed the safe and sustainable by design (SSbD) framework [34].",True,SSbD; safe and sustainable by design,"A. DEFINING CATEGORIES AND COMPONENTS OF ELECTRONICS Recommendations that are appropriate for one category of electronics may be less applicable to another, as the intended application of an electronic device significantly influences its design process, material selection, and anticipated EoL considerations (e.g. a recycling EoL may be more realistic for certain electronics, see Table 4). To address this variability, subcategories of electronics are defined in alignment with the WEEE Directive (Table 4) [7]. These subcategories will serve as a framework for tailoring the guidance in this secti",Section-level recommendation on tailoring practices by electronics category/components (WEEE categories context).,very_low,Weak or generic linkage signal; high risk of false positive.,0.2,paper context overlap: practic
R002,"Use structured sustainability assessment tools and multi-metric evaluation (e.g., LCA/SSbD)",cross-lifecycle,450-485,B. TOOLS TO EVALUATE SUSTAINABILITY,34,SSbD Framework Recommendation,Commission recommendation,2022,"[34] (2022). European Union, Commission Recommendation (EU) 2022/2510 of 8 December 2022 Establishing a European Assessment Framework for ’Safe and Sustainable by Design’ Chemicals and Materials. Accessed: May 5, 2025. [Online]. Available: https://eur-lex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A32022H2510&qid=1746439522087",26.0,True,SSbD,"34,45,57,58,59,60,61,62,63",assessment; ssbd; sustainability,evaluation; footprint; resource; ssbd,direct_ref_in_rec_unit; direct_alias_in_rec_text; theme_overlap; paper_doc_context_overlap; stage_prior,"Emerging standards like the EU Product Environmental Footprint (PEF) methodology or the SSbD framework aim to harmonize evaluations, but their implementation is still underway [34], [63].",True,SSbD,"B. TOOLS TO EVALUATE SUSTAINABILITY Building on the above definition and research conducted within green electronics-focused projects, the following best include semiconductors (and components further utilizing semiconductors such as sensors, integrated circuits, and discrete devices like diodes and transistors), displays, and power sources. Passive components include resistors, capacitors, inductors, structural components), and optical devices. Interconnectors, such as conductive inks, link these components to form a complete electronic system. Life cycle assessments (LCAs), particularly thos","Section-level recommendation on sustainability evaluation tools (LCA, SSbD, etc.).",high,Direct evidence in recommendation unit (explicit citation and/or explicit document alias mention).,1.0,direct reference [34] appears in recommendation unit; document alias mentioned in recommendation text (SSbD); theme overlap: assessment; ssbd; sustainability; paper context overlap: evaluation; footprint; resource; ssbd; lifecycle/policy prior match
R002,"Use structured sustainability assessment tools and multi-metric evaluation (e.g., LCA/SSbD)",cross-lifecycle,450-485,B. TOOLS TO EVALUATE SUSTAINABILITY,37,EU Taxonomy for Sustainable Activities,Regulation,2020,"[37] (2020). Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the Establishment of a Framework to Facilitate Sustainable Investment, and Amending Regulation (EU) 2019/2088. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/reg/2020/852/oj/eng",10.0,False,,"34,45,57,58,59,60,61,62,63",depletion; metric; resource,burden; depletion; metric; resource; shift; sustainability; toxicity,theme_overlap; paper_doc_context_overlap; stage_prior,"Therefore, based on a review of previous research and legislation, relevant ongoing work, and key impact metrics from the green taxonomy, the following common vision and unified definition for green electronics is proposed: Electronicsthat, when measured against their alternatives over their whole lifecycle and value chain,have a reduced environmental impact in terms of greenhouse gas emissions, toxicity, and resource depletion, avoiding burden shifting from one impact to another or along the va",False,green taxonomy,"B. TOOLS TO EVALUATE SUSTAINABILITY Building on the above definition and research conducted within green electronics-focused projects, the following best include semiconductors (and components further utilizing semiconductors such as sensors, integrated circuits, and discrete devices like diodes and transistors), displays, and power sources. Passive components include resistors, capacitors, inductors, structural components), and optical devices. Interconnectors, such as conductive inks, link these components to form a complete electronic system. Life cycle assessments (LCAs), particularly thos","Section-level recommendation on sustainability evaluation tools (LCA, SSbD, etc.).",medium,Indirect but strong linkage: thematic overlap plus supporting document context in the paper and/or lifecycle-policy prior.,0.75,theme overlap: depletion; metric; resource; paper context overlap: burden; depletion; metric; resource; shift; sustainability; toxicity; lifecycle/policy prior match
R002,"Use structured sustainability assessment tools and multi-metric evaluation (e.g., LCA/SSbD)",cross-lifecycle,450-485,B. TOOLS TO EVALUATE SUSTAINABILITY,8,ESPR (Ecodesign for Sustainable Products Regulation),Regulation,2024,"[8] (2024). European Union, Regulation (EU) 2024/1781 of the European Parliament and of the Council of 13 June 2024 Establishing a Framework for the Setting of Ecodesign Requirements for Sustainable Products, Amending Directive (EU) 2020/1828 and Regulation (EU) 2023/1542 and Repealing Directive 2009/125/EC. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/eli/reg/2024/1781/oj/eng",6.6,False,,"34,45,57,58,59,60,61,62,63",footprint,depletion; footprint; resource; sustainability,theme_overlap; paper_doc_context_overlap; stage_prior,"Recent changes in EU regulations related to sustainability and the circular economy include the Ecodesign for Sustainable Products Regulation (ESPR) [8], which aims to make sustainable products the norm by reducing their carbon and environmental footprints.",True,ESPR; Ecodesign for Sustainable Products Regulation,"B. TOOLS TO EVALUATE SUSTAINABILITY Building on the above definition and research conducted within green electronics-focused projects, the following best include semiconductors (and components further utilizing semiconductors such as sensors, integrated circuits, and discrete devices like diodes and transistors), displays, and power sources. Passive components include resistors, capacitors, inductors, structural components), and optical devices. Interconnectors, such as conductive inks, link these components to form a complete electronic system. Life cycle assessments (LCAs), particularly thos","Section-level recommendation on sustainability evaluation tools (LCA, SSbD, etc.).",medium,Indirect but strong linkage: thematic overlap plus supporting document context in the paper and/or lifecycle-policy prior.,0.75,theme overlap: footprint; paper context overlap: depletion; footprint; resource; sustainability; lifecycle/policy prior match
R002,"Use structured sustainability assessment tools and multi-metric evaluation (e.g., LCA/SSbD)",cross-lifecycle,450-485,B. TOOLS TO EVALUATE SUSTAINABILITY,27,Chemicals Strategy for Sustainability,Commission communication,2020,"[27] (2020). European Union, Chemicals Strategy for Sustainability Towards a Toxic-Free Environment. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/legal-content/EN/TXT/?uri= CELEX%3A52020DC0667&qid=1746439390567",5.7,False,,"34,45,57,58,59,60,61,62,63",sustainability; toxicity,sustainability,theme_overlap; paper_doc_context_overlap; stage_prior,"Furthermore, the European Chemicals Strategy for Sustainability aims to further climate neutrality, a circular economy, and zero pollution for chemicals [27].",True,Chemicals Strategy for Sustainability,"B. TOOLS TO EVALUATE SUSTAINABILITY Building on the above definition and research conducted within green electronics-focused projects, the following best include semiconductors (and components further utilizing semiconductors such as sensors, integrated circuits, and discrete devices like diodes and transistors), displays, and power sources. Passive components include resistors, capacitors, inductors, structural components), and optical devices. Interconnectors, such as conductive inks, link these components to form a complete electronic system. Life cycle assessments (LCAs), particularly thos","Section-level recommendation on sustainability evaluation tools (LCA, SSbD, etc.).",medium,Indirect but strong linkage: thematic overlap plus supporting document context in the paper and/or lifecycle-policy prior.,0.75,theme overlap: sustainability; toxicity; paper context overlap: sustainability; lifecycle/policy prior match
R002,"Use structured sustainability assessment tools and multi-metric evaluation (e.g., LCA/SSbD)",cross-lifecycle,450-485,B. TOOLS TO EVALUATE SUSTAINABILITY,36,CSRD,Directive,2022,"[36] (2022). European Union, Directive (EU) 2022/2464 of the European Parliament and of the Council of 14 December 2022 Amending Regulation (EU), no. 537/2014, Directive 2004/109/EC, Directive 2006/43/EC and Directive 2013/34/EU, as Regards Corporate Sustainability Reporting. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2022/2464/oj/eng VOLUME 13, 2025",4.5,False,,"34,45,57,58,59,60,61,62,63",sustainability,sustainability,theme_overlap; paper_doc_context_overlap; stage_prior,Other important EU initiatives include the Corporate Sustainability Reporting Directive (CSRD) which modernizes and strengthens the rules for social and environmental reporting by companies [36].,True,CSRD; Corporate Sustainability Reporting Directive,"B. TOOLS TO EVALUATE SUSTAINABILITY Building on the above definition and research conducted within green electronics-focused projects, the following best include semiconductors (and components further utilizing semiconductors such as sensors, integrated circuits, and discrete devices like diodes and transistors), displays, and power sources. Passive components include resistors, capacitors, inductors, structural components), and optical devices. Interconnectors, such as conductive inks, link these components to form a complete electronic system. Life cycle assessments (LCAs), particularly thos","Section-level recommendation on sustainability evaluation tools (LCA, SSbD, etc.).",low,Indirect thematic/policy linkage inferred from the paper; useful for pseudo-gold expansion but requires manual validation.,0.45,theme overlap: sustainability; paper context overlap: sustainability; lifecycle/policy prior match
R002,"Use structured sustainability assessment tools and multi-metric evaluation (e.g., LCA/SSbD)",cross-lifecycle,450-485,B. TOOLS TO EVALUATE SUSTAINABILITY,21,European Green Deal (EP Resolution),Parliament resolution,2020,"[21] (2020). European Union, European Parliament Resolution of 15 January 2020 on the European Green Deal (2019/2956(RSP). Accessed: May 5, 2025. [Online]. Available: https://eur-lex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A52020IP0005&qid=1746438016148",4.0,False,,"34,45,57,58,59,60,61,62,63",sustainability,sustainability,theme_overlap; paper_doc_context_overlap; stage_prior,"SNAPSHOT OF EU SUSTAINABILITY GUIDELINES & REGULATIONS FOR ELECTRONICS With the approval of the EU Green Deal, the EU aims for climate neutrality by 2050 and a 55% emissions reduction by 2030 [21].",True,Green Deal,"B. TOOLS TO EVALUATE SUSTAINABILITY Building on the above definition and research conducted within green electronics-focused projects, the following best include semiconductors (and components further utilizing semiconductors such as sensors, integrated circuits, and discrete devices like diodes and transistors), displays, and power sources. Passive components include resistors, capacitors, inductors, structural components), and optical devices. Interconnectors, such as conductive inks, link these components to form a complete electronic system. Life cycle assessments (LCAs), particularly thos","Section-level recommendation on sustainability evaluation tools (LCA, SSbD, etc.).",low,Indirect thematic/policy linkage inferred from the paper; useful for pseudo-gold expansion but requires manual validation.,0.45,theme overlap: sustainability; paper context overlap: sustainability; lifecycle/policy prior match
