doc_ref_num,doc_short_name,doc_type,doc_year,aliases,themes,reference_entry
7,WEEE Directive,Directive,2012,WEEE | Waste Electrical and Electronic Equipment Directive | Directive 2012/19/EU,e-waste | collection | re-use | reuse | recycling | recovery | waste processing | classification | EEE categories | end of life,"[7] European Union, Directive 2012/19/EU of the European Parliament and of the Council on Waste Electrical and Electronic Equipment (WEEE). Accessed: Jan. 17, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2012/19/2018-07-04/eng"
8,ESPR (Ecodesign for Sustainable Products Regulation),Regulation,2024,ESPR | Ecodesign for Sustainable Products Regulation | Regulation (EU) 2024/1781 | ecodesign requirements | Digital Product Passports | DPP,ecodesign | product durability | repairability | recycled content | disassembly | recyclability | environmental footprint | carbon footprint | digital product passport | green public procurement,"[8] (2024). European Union, Regulation (EU) 2024/1781 of the European Parliament and of the Council of 13 June 2024 Establishing a Framework for the Setting of Ecodesign Requirements for Sustainable Products, Amending Directive (EU) 2020/1828 and Regulation (EU) 2023/1542 and Repealing Directive 2009/125/EC. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/eli/reg/2024/1781/oj/eng"
21,European Green Deal (EP Resolution),Parliament resolution,2020,Green Deal | European Green Deal,climate neutrality | emissions reduction | renewable energy | sustainability | decarbonisation,"[21] (2020). European Union, European Parliament Resolution of 15 January 2020 on the European Green Deal (2019/2956(RSP). Accessed: May 5, 2025. [Online]. Available: https://eur-lex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A52020IP0005&qid=1746438016148"
22,Circular Economy Action Plan (CEAP),Commission communication,2020,Circular Economy Action Plan | CEAP | new Circular Economy Action Plan | Circular Electronics Initiative,circular economy | durable products | reuse | recycling | waste reduction | circular electronics | repairability | recyclability,"[22] (2020). European Union, A New Circular Economy Action Plan for a Cleaner and More Competitive Europe. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/ legal-content/EN/TXT/?uri=celex:52020DC0098 VOLUME 13, 2025 K. Vogel et al.: Defining and Achieving Next-Generation Green Electronics"
23,New Industrial Strategy for Europe,Parliament resolution,2020,European Industrial Strategy | New Industrial Strategy for Europe,industrial base | innovation | value chains | competitiveness | industry,"[23] (2020). European Union, European Parliament Resolution of 25 November 2020 on a New Industrial Strategy for Europe (2020/2076(INI)). Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/ legal-content/EN/TXT/?uri=CELEX%3A52020IP0321&qid= 1746438592305"
24,Clean Industrial Deal,Commission communication,2025,Clean Industrial Deal,decarbonisation | competitiveness | industrial transition | clean industry,"[24] (2025). European Union, The Clean Industrial Deal: A Joint Roadmap for Competitiveness and Decarbonisation. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A52025DC0085&qid= 1746438708611"
25,EU Chips Act,Regulation,2023,Chips Act | EU Chips Act,semiconductor ecosystem | insourcing | supply chain resilience | manufacturing capacity,"[25] (2023). European Union, Regulation (EU) 2023/1781 of the European Parliament and of the Council of 13 September 2023 Establishing a Framework of Measures for Strengthening Europe’s Semiconductor Ecosystem and Amending Regulation (EU) 2021/694 (Chips Act). Accessed: Feb. 4, 2025. [Online]. Available: http://data.europa.eu/eli/reg/2023/1781/oj/eng"
26,Critical Raw Materials Act,Regulation,2024,Critical Raw Materials Act | CRMA,critical raw materials | supply security | sustainable supply | resource availability | material criticality,"[26] (2024). European Union, Regulation (EU) 2024/1252 of the European Parliament and of the Council of 11 April 2024 Establishing a Framework for Ensuring a Secure and Sustainable Supply of Critical Raw Materials and Amending Regulations (EU), no. 168/2013, (EU) 2018/858, (EU) 2018/1724 and (EU) 2019/1020. Accessed: May 5, 2025. [Online]. Available: http://data.europa.eu/eli/reg/2024/1252/oj/eng"
27,Chemicals Strategy for Sustainability,Commission communication,2020,Chemicals Strategy for Sustainability | toxic-free environment,chemicals | zero pollution | toxicity | hazardous substances | safer chemicals,"[27] (2020). European Union, Chemicals Strategy for Sustainability Towards a Toxic-Free Environment. Accessed: Jan. 17, 2025. [Online]. Available: https://eur-lex.europa.eu/legal-content/EN/TXT/?uri= CELEX%3A52020DC0667&qid=1746439390567"
28,Ecodesign Directive,Directive,2009,Ecodesign Directive | Directive 2009/125/EC,energy-related products | ecodesign | energy efficiency | product requirements,"[28] (2009). European Union, Directive 2009/125/EC of the European Parliament and of the Council of 21 October 2009 Establishing a Framework for the Setting of Ecodesign Requirements for EnergyRelated Products. Accessed: Jan. 17, 2025. [Online]. Available: http://data.europa.eu/eli/dir/2009/125/oj/eng"
